EventNum,Polarization,time ,He4Press,He4Temp,Area
1706737325,2.59E+01,0,1.175,1.298613,-2.97E+00
1706737338,2.59E+01,0.216666667,1.174,1.298474,-2.97E+00
1706737351,2.59E+01,0.433333333,1.176,1.298752,-2.97E+00
1706737364,2.59E+01,0.65,1.175,1.298613,-2.97E+00
1706737377,2.59E+01,0.866666667,1.174,1.298474,-2.97E+00
1706737390,2.60E+01,1.083333333,1.172,1.298196,-2.98E+00
1706737405,2.60E+01,1.333333333,1.172,1.298196,-2.98E+00
1706737419,2.59E+01,1.566666667,1.174,1.298474,-2.97E+00
1706737432,2.59E+01,1.783333333,1.172,1.298196,-2.98E+00
1706737445,2.59E+01,2,1.172,1.298196,-2.97E+00
1706737458,2.60E+01,2.216666667,1.171,1.298057,-2.98E+00
1706737471,2.59E+01,2.433333333,1.172,1.298196,-2.97E+00
1706737484,2.60E+01,2.65,1.172,1.298196,-2.98E+00
1706737497,2.60E+01,2.866666667,1.169,1.297778,-2.98E+00
1706737510,2.59E+01,3.083333333,1.171,1.298057,-2.97E+00
1706737523,2.60E+01,3.3,1.171,1.298057,-2.98E+00
1706737537,2.59E+01,3.533333333,1.172,1.298196,-2.98E+00
1706737550,2.60E+01,3.75,1.175,1.298613,-2.98E+00
1706737563,2.60E+01,3.966666667,1.181,1.299446,-2.98E+00
1706737576,2.59E+01,4.183333333,1.204,1.302615,-2.98E+00
1706737589,2.59E+01,4.4,1.186,1.300138,-2.98E+00
1706737602,2.59E+01,4.616666667,1.172,1.298196,-2.98E+00
1706737615,2.60E+01,4.833333333,1.171,1.298057,-2.98E+00
1706737628,2.60E+01,5.05,1.169,1.297778,-2.98E+00
1706737641,2.60E+01,5.266666667,1.169,1.297778,-2.98E+00
1706737655,2.60E+01,5.5,1.166,1.297359,-2.98E+00
1706737668,2.60E+01,5.716666667,1.164,1.29708,-2.98E+00
1706737681,2.60E+01,5.933333333,1.164,1.29708,-2.98E+00
1706737694,2.60E+01,6.15,1.162,1.2968,-2.98E+00
1706737707,2.60E+01,6.366666667,1.162,1.2968,-2.98E+00
1706737720,2.60E+01,6.583333333,1.161,1.29666,-2.98E+00
1706737733,2.60E+01,6.8,1.16,1.29652,-2.98E+00
1706737746,2.60E+01,7.016666667,1.161,1.29666,-2.98E+00
1706737759,2.60E+01,7.233333333,1.158,1.296239,-2.98E+00
1706737773,2.60E+01,7.466666667,1.159,1.296379,-2.98E+00
1706737786,2.60E+01,7.683333333,1.159,1.296379,-2.98E+00
1706737799,2.60E+01,7.9,1.16,1.29652,-2.98E+00
1706737812,2.60E+01,8.116666667,1.162,1.2968,-2.98E+00
1706737825,2.60E+01,8.333333333,1.162,1.2968,-2.98E+00
1706737838,2.60E+01,8.55,1.164,1.29708,-2.98E+00
1706737851,2.60E+01,8.766666667,1.164,1.29708,-2.98E+00
1706737864,2.60E+01,8.983333333,1.164,1.29708,-2.98E+00
1706737877,2.60E+01,9.2,1.166,1.297359,-2.98E+00
1706737890,2.60E+01,9.416666667,1.165,1.297219,-2.98E+00
1706737904,2.60E+01,9.65,1.167,1.297499,-2.98E+00
1706737917,2.60E+01,9.866666667,1.166,1.297359,-2.98E+00
1706737930,2.60E+01,10.08333333,1.167,1.297499,-2.98E+00
1706737943,2.60E+01,10.3,1.169,1.297778,-2.98E+00
1706737956,2.60E+01,10.51666667,1.167,1.297499,-2.98E+00
1706737969,2.60E+01,10.73333333,1.173,1.298335,-2.98E+00
1706737982,2.60E+01,10.95,1.177,1.298891,-2.98E+00
1706737995,2.60E+01,11.16666667,1.178,1.29903,-2.98E+00
1706738008,2.60E+01,11.38333333,1.178,1.29903,-2.98E+00
1706738022,2.60E+01,11.61666667,1.176,1.298752,-2.98E+00
1706738035,2.60E+01,11.83333333,1.178,1.29903,-2.98E+00
1706738048,2.60E+01,12.05,1.178,1.29903,-2.98E+00
1706738061,2.60E+01,12.26666667,1.176,1.298752,-2.98E+00
1706738074,2.60E+01,12.48333333,1.177,1.298891,-2.98E+00
1706738087,2.60E+01,12.7,1.176,1.298752,-2.98E+00
1706738100,2.60E+01,12.91666667,1.178,1.29903,-2.98E+00
1706738113,2.60E+01,13.13333333,1.177,1.298891,-2.98E+00
